abacus,,,,,,,, trust,,
abandon,,,, fear,, sadness,,, negative,
adder, anger,, disgust, fear,, sadness,,, negative,
addiction,,,,,,,,, negative,
addresses,, anticip,,,,,,,, positive
adept,,,,,,,,,, positive
adequacy,,,,,,,,,, positive
adhering,,,,,,,, trust,,
adipose,,,,,,,,, negative,
adjudicate,,,, fear,,,,, negative,
adjunct,,,,,,,,,, positive
administrative,,,,,,,, trust,,
admirable,,,,, joy,,, trust,, positive
admiral,,,,,,,, trust,, positive
admiration,,,,, joy,,, trust,, positive
admire,,,,,,,, trust,, positive
admirer,,,,,,,,,, positive
admissible,,,,,,,, trust,, positive
admonition,,,, fear,,,,, negative,
adorable,,,,, joy,,,,, positive
adoration,,,,, joy,,, trust,, positive
adore,, anticip,,, joy,,, trust,, positive
adrift,, anticip,, fear,, sadness,,, negative,
adulterated,,,,,,,,, negative,
adultery,,, disgust,,, sadness,,, negative,
advance,, anticip,, fear, joy,, surprise,,, positive
advanced,,,,,,,,,, positive
advancement,,,,,,,,,, positive
advantage,,,,,,,,,, positive
advantageous,,,,,,,,,, positive
advent,, anticip,,, joy,,, trust,, positive
adventure,, anticip,,,,,,,, positive
adventurous,,,,,,,,,, positive
adversary, anger,,,,,,,, negative,
adverse, anger,, disgust, fear,, sadness,,, negative,
adversity, anger,,, fear,, sadness,,, negative,
advice,,,,,,,, trust,,
advisable,,,,,,,, trust,, positive
advise,,,,,,,, trust,, positive
advised,,,,,,,, trust,,
adviser,,,,,,,, trust,, positive
advocacy, anger, anticip,,, joy,,, trust,, positive
advocate,,,,,,,, trust,,
aesthetic,,,,,,,,,, positive
aesthetics,,,,, joy,,,,, positive
affable,,,,,,,,,, positive
affection,,,,, joy,,, trust,, positive
affiliated,,,,,,,,,, positive
affirm,,,,,,,, trust,, positive
affirmation,,,,,,,,,, positive
affirmative,,,,,,,,,, positive
affirmatively,,,,,,,, trust,, positive
afflict,,,, fear,, sadness,,, negative,
afflicted,,,,,,,,, negative,
affliction,,, disgust, fear,, sadness,,, negative,
affluence,,,,, joy,,,,, positive
affluent,,,,,,,,,, positive
afford,,,,,,,,,, positive
affront, anger,, disgust, fear,, sadness, surprise,, negative,
afraid,,,, fear,,,,, negative,
aftermath, anger,, disgust, fear,, sadness,,, negative,
aftertaste,,,,,,,,, negative,
aga,,,, fear,,,, trust,, positive
aggravated, anger,,,,,,,, negative,
aggravating, anger,,,,, sadness,,, negative,
aggravation, anger,, disgust,,,,,, negative,
aggression, anger,,, fear,,,,, negative,
aggressive, anger,,, fear,,,,, negative,
aggressor, anger,,, fear,,,,, negative,
aghast,,, disgust, fear,,, surprise,, negative,
agile,,,,,,,,,, positive
agility,,,,,,,,,, positive
agitated, anger,,,,,,,, negative,
agitation, anger,,,,,,,, negative,
agonizing,,,, fear,,,,, negative,
agony, anger,,, fear,, sadness,,, negative,
agree,,,,,,,,,, positive
agreeable,,,,,,,, trust,, positive
agreed,,,,,,,, trust,, positive
agreeing,,,,,,,, trust,, positive
agreement,,,,,,,, trust,, positive
agriculture,,,,,,,,,, positive
aground,,,,,,,,, negative,
ahead,,,,,,,,,, positive
aid,,,,,,,,,, positive
aiding,,,,,,,,,, positive
ail,,,,,, sadness,,, negative,
ailing,,,, fear,, sadness,,, negative,
aimless,,,,,,,,, negative,
airport,, anticip,,,,,,,,
airs,,, disgust,,,,,, negative,
akin,,,,,,,, trust,,
alabaster,,,,,,,,,, positive
alarm,,,, fear,,, surprise,, negative,
alarming,,,, fear,,, surprise,, negative,
alb,,,,,,,, trust,,
alcoholism, anger,, disgust, fear,, sadness,,, negative,
alertness,, anticip,, fear,,, surprise,,, positive
alerts,, anticip,, fear,,, surprise,,,
alien,,, disgust, fear,,,,, negative,
alienate, anger,, disgust,,,,,, negative,
alienated,,,,,, sadness,,, negative,
alienation, anger,, disgust, fear,, sadness,,, negative,
alimentation,,,,,,,,,, positive
alimony,,,,,,,,, negative,
alive,, anticip,,, joy,,, trust,, positive
allay,,,,,,,,,, positive
allegation, anger,,,,,,,, negative,
allege,,,,,,,,, negative,
allegiance,,,,,,,, trust,, positive
allegro,,,,,,,,,, positive
alleviate,,,,,,,,,, positive
alleviation,,,,,,,,,, positive
alliance,,,,,,,, trust,,
allied,,,,,,,, trust,, positive
allowable,,,,,,,,,, positive
allure,, anticip,,, joy,, surprise,,, positive
alluring,,,,,,,,,, positive
ally,,,,,,,, trust,, positive
almighty,,,,,,,,,, positive
aloha,, anticip,,, joy,,,,, positive
aloof,,,,,,,,, negative,
altercation, anger,,,,,,,, negative,
amaze,,,,,,, surprise,,,
amazingly,,,,, joy,, surprise,,, positive
ambassador,,,,,,,, trust,, positive
ambiguous,,,,,,,,, negative,
ambition,, anticip,,, joy,,, trust,, positive
ambulance,,,, fear,,,, trust,,
ambush, anger,,, fear,,, surprise,, negative,
ameliorate,,,,,,,,,, positive
amen,,,,, joy,,, trust,, positive
amenable,,,,,,,,,, positive
amend,,,,,,,,,, positive
amends,,,,,,,,,, positive
amenity,,,,,,,,,, positive
amiable,,,,,,,,,, positive
amicable,,,,, joy,,,,, positive
ammonia,,, disgust,,,,,,,
amnesia,,,,,,,,, negative,
amnesty,,,,, joy,,,,, positive
amortization,,,,,,,, trust,,
amour,, anticip,,, joy,,, trust,, positive
amphetamines,,, disgust,,,,,, negative,
amuse,,,,, joy,,,,, positive
amused,,,,, joy,,,,, positive
amusement,,,,, joy,,,,, positive
amusing,,,,, joy,,,,, positive
anaconda,,, disgust, fear,,,,, negative,
anal,,,,,,,,, negative,
analyst,, anticip,,,,,, trust,, positive
anarchism, anger,,, fear,,,,, negative,
anarchist, anger,,, fear,,,,, negative,
anarchy, anger,,, fear,,,,, negative,
anathema, anger,, disgust, fear,, sadness,,, negative,
ancestral,,,,,,,, trust,,
anchor,,,,,,,,,, positive
anchorage,,,,,, sadness,,,, positive
ancient,,,,,,,,, negative,
angel,, anticip,,, joy,, surprise, trust,, positive
angelic,,,,, joy,,, trust,, positive
anger, anger,,,,,,,, negative,
angina,,,, fear,,,,, negative,
angling,, anticip,,,,,,, negative,
angry, anger,, disgust,,,,,, negative,
anguish, anger,,, fear,, sadness,,, negative,
animate,,,,,,,,,, positive
animated,,,,, joy,,,,, positive
animosity, anger,, disgust, fear,, sadness,,, negative,
animus, anger,,,,,,,, negative,
annihilate, anger,,, fear,,,,, negative,
annihilated, anger,,, fear,, sadness,,, negative,
annihilation, anger,,, fear,, sadness,,, negative,
announcement,, anticip,,,,,,,,
annoy, anger,, disgust,,,,,, negative,
annoyance, anger,, disgust,,,,,, negative,
annoying, anger,,,,,,,, negative,
annul,,,,,,,,, negative,
annulment,,,,,, sadness,,, negative,
anomaly,,,, fear,,, surprise,, negative,
anonymous,,,,,,,,, negative,
answerable,,,,,,,, trust,,
antagonism, anger,,,,,,,, negative,
antagonist, anger,,,,,,,, negative,
antagonistic, anger,, disgust,,,,,, negative,
anthrax,,, disgust, fear,, sadness,,, negative,
antibiotics,,,,,,,,,, positive
antichrist, anger,, disgust, fear,,,,, negative,
anticipation,, anticip,,,,,,,,
anticipatory,, anticip,,,,,,,,
antidote,, anticip,,,,,, trust,, positive
antifungal,,,,,,,, trust,, positive
antipathy, anger,, disgust,,,,,, negative,
antiquated,,,,,,,,, negative,
antique,,,,,,,,,, positive
antiseptic,,,,,,,, trust,, positive
antisocial, anger,, disgust, fear,, sadness,,, negative,
antithesis, anger,,,,,,,, negative,
anxiety, anger, anticip,, fear,, sadness,,, negative,
anxious,, anticip,, fear,,,,, negative,
apache,,,, fear,,,,, negative,
apathetic,,,,,, sadness,,, negative,
apathy,,,,,, sadness,,, negative,
aphid,,, disgust,,,,,, negative,
aplomb,,,,,,,,,, positive
apologetic,,,,,,,, trust,, positive
apologize,,,,,, sadness,, trust,, positive
apology,,,,,,,,,, positive
apostle,,,,,,,, trust,, positive
apostolic,,,,,,,, trust,,
appalling,,, disgust, fear,,,,, negative,
apparition,,,, fear,,, surprise,,,
appeal,, anticip,,,,,,,,
appendicitis,,,, fear,, sadness,,, negative,
applause,,,,, joy,, surprise, trust,, positive
applicant,, anticip,,,,,,,,
appreciation,,,,, joy,,, trust,, positive
apprehend,,,, fear,,,,,,
apprehension,,,, fear,,,,, negative,
apprehensive,, anticip,, fear,,,,, negative,
apprentice,,,,,,,, trust,,
approaching,, anticip,,,,,,,,
approbation,,,,,,,, trust,, positive
appropriation,,,,,,,,, negative,
approval,,,,,,,,,, positive
approve,,,,, joy,,, trust,, positive
approving,,,,,,,,,, positive
apt,,,,,,,,,, positive
aptitude,,,,,,,,,, positive
arbiter,,,,,,,, trust,,
arbitration,, anticip,,,,,,,,
arbitrator,,,,,,,, trust,,
archaeology,, anticip,,,,,,,, positive
archaic,,,,,,,,, negative,
architecture,,,,,,,, trust,,
ardent,, anticip,,, joy,,,,, positive
ardor,,,,,,,,,, positive
arduous,,,,,,,,, negative,
argue, anger,,,,,,,, negative,
argument, anger,,,,,,,, negative,
argumentation, anger,,,,,,,,,
argumentative,,,,,,,,, negative,
arguments, anger,,,,,,,,,
arid,,,,,, sadness,,, negative,
aristocracy,,,,,,,,,, positive
aristocratic,,,,,,,,,, positive
armament, anger,,, fear,,,,,,
armaments,,,, fear,,,,, negative,
armed, anger,,, fear,,,,, negative, positive
armor,,,, fear,,,, trust,, positive
armored,,,, fear,,,,,,
armory,,,,,,,, trust,,
aroma,,,,,,,,,, positive
arouse,, anticip,,,,,,,, positive
arraignment, anger,,, fear,, sadness,,, negative,
array,,,,,,,,,, positive
arrears,,,,,,,,, negative,
arrest,,,,,,,,, negative,
arrival,, anticip,,,,,,,,
arrive,, anticip,,,,,,,,
arrogance,,,,,,,,, negative,
arrogant, anger,, disgust,,,,,, negative,
arsenic,,, disgust, fear,, sadness,,, negative,
arson, anger,,, fear,,,,, negative,
art,, anticip,,, joy, sadness, surprise,,, positive
articulate,,,,,,,,,, positive
articulation,,,,,,,,,, positive
artillery,,,, fear,,,,, negative,
artisan,,,,,,,,,, positive
artiste,,,,,,,,,, positive
artistic,,,,,,,,,, positive
ascendancy,,,,,,,,,, positive
ascent,,,,,,,,,, positive
ash,,,,,,,,, negative,
ashamed,,, disgust,,, sadness,,, negative,
ashes,,,,,, sadness,,, negative,
asp,,,, fear,,,,,,
aspiration,, anticip,,, joy,, surprise, trust,, positive
aspire,, anticip,,, joy,,,,, positive
aspiring,, anticip,,, joy,,, trust,, positive
ass,,,,,,,,, negative,
assail, anger,,, fear,,, surprise,, negative,
assailant, anger,,, fear,, sadness,,, negative,
assassin, anger,,, fear,, sadness,,, negative,
assassinate, anger,,, fear,,,,, negative,
assassination, anger,,, fear,, sadness,,, negative,
assault, anger,,, fear,,,,, negative,
assembly,,,,,,,, trust,, positive
assent,,,,,,,,,, positive
asserting,,,,,,,, trust,, positive
assessment,,,,,,, surprise, trust,,
assessor,,,,,,,, trust,,
assets,,,,,,,,,, positive
asshole, anger,, disgust,,,,,, negative,
assignee,,,,,,,, trust,,
assist,,,,,,,, trust,, positive
assistance,,,,,,,,,, positive
associate,,,,,,,, trust,, positive
association,,,,,,,, trust,,
assuage,,,,,,,,,, positive
assurance,,,,,,,, trust,, positive
assure,,,,,,,, trust,,
assured,,,,,,,, trust,, positive
assuredly,,,,,,,, trust,,
astonishingly,,,,,,, surprise,,, positive
astonishment,,,,, joy,, surprise,,, positive
astray,,,, fear,,,,, negative,
astringent,,,,,,,,, negative,
astrologer,, anticip,,,,,,,, positive
astronaut,,,,,,,,,, positive
astronomer,, anticip,,,,,,,, positive
astute,,,,,,,,,, positive
asylum,,,, fear,,,,, negative,
asymmetry,,, disgust,,,,,,,
atheism,,,,,,,,, negative,
atherosclerosis,,,, fear,, sadness,,, negative,
athlete,,,,,,,,,, positive
athletic,,,,,,,,,, positive
atom,,,,,,,,,, positive
atone,, anticip,,, joy,,, trust,, positive
atonement,,,,,,,,,, positive
atrocious, anger,, disgust,,,,,, negative,
atrocity, anger,, disgust, fear,, sadness,,, negative,
atrophy,,, disgust, fear,, sadness,,, negative,
attachment,,,,,,,,,, positive
attack, anger,,, fear,,,,, negative,
attacking, anger,, disgust, fear,, sadness, surprise,, negative,
attainable,, anticip,,,,,,,, positive
attainment,,,,,,,,,, positive
attempt,, anticip,,,,,,,,
attendance,, anticip,,,,,,,,
attendant,,,,,,,, trust,, positive
attention,,,,,,,,,, positive
attentive,,,,,,,, trust,, positive
attenuated,,,,,,,,, negative,
attenuation,,,,,, sadness,,, negative,
attest,,,,,,,, trust,, positive
attestation,,,,,,,, trust,,
attorney, anger,,, fear,,,, trust,, positive
attraction,,,,,,,,,, positive
attractiveness,,,,,,,,,, positive
auction,, anticip,,,,,,,,
audacity,,,,,,,,, negative,
audience,, anticip,,,,,,,,
auditor,,,, fear,,,, trust,,
augment,,,,,,,,,, positive
august,,,,,,,,,, positive
aunt,,,,,,,, trust,, positive
aura,,,,,,,,,, positive
auspicious,, anticip,,, joy,,,,, positive
austere,,,, fear,, sadness,,, negative,
austerity,,,,,,,,, negative,
authentic,,,,, joy,,, trust,, positive
authenticate,,,,,,,, trust,,
authentication,,,,,,,, trust,,
authenticity,,,,,,,, trust,, positive
author,,,,,,,, trust,, positive
authoritative,,,,,,,, trust,, positive
authority,,,,,,,, trust,, positive
authorization,,,,,,,, trust,, positive
authorize,,,,,,,, trust,,
authorized,,,,,,,,,, positive
autocratic,,,,,,,,, negative,
automatic,,,,,,,, trust,,
autopsy,,, disgust, fear,, sadness,,, negative,
avalanche,,,, fear,, sadness, surprise,, negative,
avarice, anger,, disgust,,,,,, negative,
avatar,,,,,,,,,, positive
avenger, anger,,,,,,,, negative,
averse, anger,, disgust, fear,,,,, negative,
aversion, anger,, disgust, fear,,,,, negative,
avoid,,,, fear,,,,, negative,
avoidance,,,, fear,,,,, negative,
avoiding,,,, fear,,,,,,
await,, anticip,,,,,,,,
award,, anticip,,, joy,, surprise, trust,, positive
awful, anger,, disgust, fear,, sadness,,, negative,
awkwardness,,, disgust,,,,,, negative,
awry,,,,,,,,, negative,
axiom,,,,,,,, trust,,
axiomatic,,,,,,,, trust,,
ay,,,,,,,,,, positive
aye,,,,,,,,,, positive
babble,,,,,,,,, negative,
babbling,,,,,,,,, negative,
baboon,,, disgust,,,,,, negative,
baby,,,,, joy,,,,, positive
babysitter,,,,,,,, trust,,
baccalaureate,,,,,,,,,, positive
backbone, anger,,,,,,, trust,, positive
backer,,,,,,,, trust,,
backward,,,,,,,,, negative,
backwards,,, disgust,,,,,, negative,
backwater,,,,,, sadness,,, negative,
bacteria,,, disgust, fear,, sadness,,, negative,
bacterium,,, disgust, fear,,,,, negative,
bad, anger,, disgust, fear,, sadness,,, negative,
badge,,,,,,,, trust,,
badger, anger,,,,,,,, negative,
badly,,,,,, sadness,,, negative,
badness, anger,, disgust, fear,,,,, negative,
bailiff,,,, fear,,,, trust, negative,
bait,,,, fear,,,, trust, negative,
balance,,,,,,,,,, positive
balanced,,,,,,,,,, positive
bale,,,, fear,,,,, negative,
balk,,,,,,,,, negative,
ballad,,,,,,,,,, positive
ballet,,,,,,,,,, positive
ballot,, anticip,,,,,, trust,, positive
balm,, anticip,,, joy,,,, negative, positive
balsam,,,,,,,,,, positive
ban,,,,,,,,, negative,
bandit,,,,,,,,, negative,
bane, anger,, disgust, fear,,,,, negative,
bang, anger,, disgust, fear,, sadness, surprise,, negative,
banger, anger, anticip,, fear,,, surprise,, negative,
banish, anger,, disgust, fear,, sadness,,, negative,
banished, anger,,, fear,, sadness,,, negative,
banishment, anger,, disgust,,, sadness,,, negative,
bank,,,,,,,, trust,,
banker,,,,,,,, trust,,
bankrupt,,,, fear,, sadness,,, negative,
bankruptcy, anger,, disgust, fear,, sadness,,, negative,
banquet,, anticip,,, joy,,,,, positive
banshee, anger,, disgust, fear,, sadness,,, negative,
baptism,,,,,,,,,, positive
baptismal,,,,, joy,,,,, positive
barb, anger,,,,,,,, negative,
barbarian,,,, fear,,,,, negative,
barbaric, anger,, disgust, fear,,,,, negative,
barbarism,,,,,,,,, negative,
bard,,,,,,,,,, positive
barf,,, disgust,,,,,,,
bargain,,,,,,,, trust,, positive
bark, anger,,,,,,,, negative,
barred,,,,,,,,, negative,
barren,,,,,, sadness,,, negative,
barricade,,,, fear,,,,, negative,
barrier, anger,,,,,,,, negative,
barrow,,, disgust,,,,,,,
bartender,,,,,,,, trust,,
barter,,,,,,,, trust,,
base,,,,,,,, trust,,
baseless,,,,,,,,, negative,
basketball,, anticip,,, joy,,,,, positive
bastard,,, disgust,,, sadness,,, negative,
bastion, anger,,,,,,,,, positive
bath,,,,,,,,,, positive
battalion, anger,,,,,,,,,
batter, anger,,, fear,,,,, negative,
battered,,,, fear,, sadness,,, negative,
battery, anger,,,,,,,, negative,
battle, anger,,,,,,,, negative,
battled, anger,,, fear,, sadness,,, negative,
battlefield,,,, fear,,,,, negative,
bawdy,,,,,,,,, negative,
bayonet, anger,,, fear,,,,, negative,
beach,,,,, joy,,,,,
beam,,,,, joy,,,,, positive
beaming,, anticip,,, joy,,,,, positive
bear, anger,,, fear,,,,,,
bearer,,,,,,,,, negative,
bearish, anger,,, fear,,,,,,
beast, anger,,, fear,,,,, negative,
beastly,,, disgust, fear,,,,, negative,
beating, anger,,, fear,, sadness,,, negative,
beautification,,,,, joy,,, trust,, positive
beautiful,,,,, joy,,,,, positive
beautify,,,,, joy,,,,, positive
beauty,,,,, joy,,,,, positive
bedrock,,,,,,,, trust,, positive
bee, anger,,, fear,,,,,,
beer,,,,, joy,,,,, positive
befall,,,,,,,,, negative,
befitting,,,,,,,,,, positive
befriend,,,,, joy,,, trust,, positive
beg,,,,,, sadness,,, negative,
beggar,,,,,, sadness,,, negative,
begging,,,,,,,,, negative,
begun,, anticip,,,,,,,,
behemoth,,,, fear,,,,, negative,
beholden,,,,,,,,, negative,
belated,,,,,,,,, negative,
believed,,,,,,,, trust,,
believer,,,,,,,, trust,,
believing,,,,,,,, trust,, positive
belittle, anger,, disgust, fear,, sadness,,, negative,
belligerent, anger,,, fear,,,,, negative,
bellows, anger,,,,,,,,,
belt, anger,,, fear,,,,, negative,
bender,,,,,,,,, negative,
benefactor,,,,,,,, trust,, positive
beneficial,,,,,,,,,, positive
benefit,,,,,,,,,, positive
benevolence,,,,, joy,,, trust,, positive
benign,,,,, joy,,,,, positive
bequest,,,,,,,, trust,,
bereaved,,,,,, sadness,,, negative,
bereavement,,,,,, sadness,,, negative,
bereft,,,,,,,,, negative,
berserk, anger,,,,,,,, negative,
berth,,,,,,,,,, positive
bestial,,, disgust, fear,,,,, negative,
betray, anger,, disgust,,, sadness, surprise,, negative,
betrayal, anger,, disgust,,, sadness,,, negative,
betrothed,, anticip,,, joy,,, trust,, positive
betterment,,,,,,,,,, positive
beverage,,,,,,,,,, positive
beware,, anticip,, fear,,,,, negative,
bewildered,,,, fear,,, surprise,, negative,
bewilderment,,,, fear,,, surprise,,,
bias, anger,,,,,,,, negative,
biased,,,,,,,,, negative,
biblical,,,,,,,,,, positive
bickering, anger,, disgust,,,,,, negative,
biennial,, anticip,,,,,,,,
bier,,,, fear,, sadness,,, negative,
bigot, anger,, disgust, fear,,,,, negative,
bigoted, anger,, disgust, fear,, sadness,,, negative,
bile, anger,, disgust,,,,,, negative,
bilingual,,,,,,,,,, positive
biopsy,,,, fear,,,,, negative,
birch, anger,, disgust, fear,,,,, negative,
birth,, anticip,, fear, joy,,, trust,, positive
birthday,, anticip,,, joy,, surprise,,, positive
birthplace, anger,,,,,,,, negative,
bitch, anger,, disgust, fear,, sadness,,, negative,
bite,,,,,,,,, negative,
bitterly, anger,, disgust,,, sadness,,, negative,
bitterness, anger,, disgust,,, sadness,,, negative,
bizarre,,,,,,, surprise,, negative,
black,,,,,, sadness,,, negative,
blackjack,,,,,,,,, negative,
blackmail, anger,,, fear,,,,, negative,
blackness,,,, fear,, sadness,,, negative,
blame, anger,, disgust,,,,,, negative,
blameless,,,,,,,,,, positive
bland,,,,,,,,, negative,
blanket,,,,,,,, trust,,
blasphemous, anger,, disgust,,,,,, negative,
blasphemy, anger,,,,,,,, negative,
blast, anger,,, fear,,, surprise,, negative,
blatant, anger,, disgust,,,,,, negative,
blather,,,,,,,,, negative,
blaze, anger,,,,,,,, negative,
bleak,,,,,, sadness,,, negative,
bleeding,,, disgust, fear,, sadness,,, negative,
blemish, anger,, disgust, fear,, sadness,,, negative,
bless,, anticip,,, joy,,, trust,, positive
blessed,,,,, joy,,,,, positive
blessing,, anticip,,, joy,,, trust,, positive
blessings,, anticip,,, joy,, surprise, trust,, positive
blight,,, disgust, fear,, sadness,,, negative,
blighted,,, disgust,,, sadness,,, negative,
blind,,,,,,,,, negative,
blinded,,,,,,,,, negative,
blindfold,, anticip,, fear,,, surprise,,,
blindly,,,,,, sadness,,, negative,
blindness,,,,,, sadness,,, negative,
bliss,,,,, joy,,,,, positive
blissful,,,,, joy,,,,, positive
blister,,, disgust,,,,,, negative,
blitz,,,,,,, surprise,,,
bloated,,, disgust,,,,,, negative,
blob,,, disgust, fear,,,,, negative,
blockade, anger,,, fear,, sadness,,, negative,
bloodless,,,,,,,,,, positive
bloodshed, anger,, disgust, fear,, sadness, surprise,, negative,
bloodthirsty, anger,, disgust, fear,,,,, negative,
bloody, anger,, disgust, fear,, sadness,,, negative,
bloom,, anticip,,, joy,,, trust,, positive
blossom,,,,, joy,,,,, positive
blot,,,,,,,,, negative,
blower,,,,,,,,, negative,
blowout,,,,,,,,, negative,
blue,,,,,, sadness,,,,
blues,,,, fear,, sadness,,, negative,
bluff,,,,,,,,, negative,
blunder,,, disgust,,, sadness,,, negative,
blur,,,,,,,,, negative,
blurred,,,,,,,,, negative,
blush,,,,,,,,, negative,
board,, anticip,,,,,,,,
boast,,,,,,,,, negative, positive
boasting,,,,,,,,, negative,
bodyguard,,,,,,,, trust,, positive
bog,,,,,,,,, negative,
bogus, anger,, disgust,,,,,, negative,
boil,,, disgust,,,,,, negative,
boilerplate,,,,,,,,, negative,
boisterous, anger, anticip,,, joy,,,, negative, positive
bold,,,,,,,,,, positive
boldness,,,,,,,,,, positive
bolster,,,,,,,,,, positive
bomb, anger,,, fear,, sadness, surprise,, negative,
bombard, anger,,, fear,,,,, negative,
bombardment, anger,,, fear,,,,, negative,
bombed,,, disgust,,,,,, negative,
bomber,,,, fear,, sadness,,,,
bonanza,,,,, joy,,,,, positive
bondage,,,, fear,, sadness,,, negative,
bonds,,,,,,,,, negative,
bonne,,,,,,,,,, positive
bonus,, anticip,,, joy,, surprise,,, positive
boo,,,,,,,,, negative,
booby,,,,,,,,, negative,
bookish,,,,,,,,,, positive
bookshop,,,,,,,,,, positive
bookworm,,,,,,,,, negative, positive
boomerang,, anticip,,,,,, trust,,
boon,,,,,,,,,, positive
booze,,,,,,,,, negative,
bore,,,,,,,,, negative,
boredom,,,,,, sadness,,, negative,
boring,,,,,,,,, negative,
borrower,,,,,,,,, negative,
bother,,,,,,,,, negative,
bothering, anger,,,,, sadness,,, negative,
bottom,,,,,, sadness,,, negative,
bottomless,,,, fear,,,,,,
bound,,,,,,,,, negative,
bountiful,, anticip,,, joy,,,,, positive
bounty,, anticip,,, joy,,, trust,, positive
bouquet,,,,, joy,,, trust,, positive
bout, anger,,,,,,,, negative,
bovine,,, disgust,,,,,, negative,
bowels,,, disgust,,,,,,,
boxing, anger,,,,,,,,,
boy,,, disgust,,,,,, negative,
boycott,,,,,,,,, negative,
brag,,,,,,,,, negative,
brains,,,,,,,,,, positive
bran,,, disgust,,,,,,,
brandy,,,,,,,,, negative,
bravado,,,,,,,,, negative,
bravery,,,,,,,,,, positive
brawl, anger,, disgust, fear,,,,, negative,
brazen, anger,,,,,,,, negative,
breach,,,,,,,,, negative,
break,,,,,,, surprise,,,
breakdown,,,,,,,,, negative,
breakfast,,,,,,,,,, positive
breakneck,,,,,,,,, negative,
breakup,,,,,, sadness,,, negative,
bribe,,,,,,,,, negative,
bribery,,, disgust,,,,,, negative,
bridal,, anticip,,, joy,,, trust,, positive
bride,, anticip,,, joy,,, trust,, positive
bridegroom,, anticip,,, joy,,, trust,, positive
bridesmaid,,,,, joy,,, trust,, positive
brigade,,,, fear,,,,, negative,
brighten,,,,, joy,, surprise, trust,, positive
brightness,,,,,,,,,, positive
brilliant,, anticip,,, joy,,, trust,, positive
brimstone, anger,,, fear,,,,, negative,
bristle,,,,,,,,, negative,
broadside,, anticip,,,,,,, negative,
brocade,,,,,,,,,, positive
broil, anger,,,,,,,, negative,
